Altium Designer Pick and Place Locations
D:\WORKSPACE\compute-module-4-gateway\PCB\Project Outputs for WIFI_RM\Gerber\cm4gateway.PAP.R0.csv

========================================================================================================================
File Design Information:

Date:       21/06/25
Time:       18:40
Revision:   f53cb5571fa5dd5c766bff6532c8282d0dab94f0
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","DES"
"J14","TopLayer","WE-RJ45-7499111121A","25.3315","11.4977","0","Modular Connectors / Ethernet Connectors WE-RJ45 Intgtd XFMR 1x1 THT Tab Down EMI"
"J1","TopLayer","7966442","145.9558","7.9556","0","SIMM Connectors PUSH-PUSH NANO SIM CONNECTOR"
"U20","TopLayer","SOT65P210X1106N","38.5000","73.2750","0","Buffers & Line Drivers Dual Buffer Driver A 595-SN74LVC2G07DCKR"
"U7","TopLayer","SOT65P210X1106N","40.6750","63.3500","0","Buffers & Line Drivers Dual Buffer Driver A 595-SN74LVC2G07DCKR"
"U6","TopLayer","SOT65P210X1106N","61.2750","64.0250","0","Buffers & Line Drivers Dual Buffer Driver A 595-SN74LVC2G07DCKR"
"U5","TopLayer","SOT65P210X1106N","51.7000","64.8000","0","Buffers & Line Drivers Dual Buffer Driver A 595-SN74LVC2G07DCKR"
"J12","TopLayer","OLED128x32","29.0000","59.8350","90",""
"R100","TopLayer","RESC1608N","61.6750","58.1250","270",""
"R99","TopLayer","RESC1608N","57.9250","58.1750","270",""
"R98","TopLayer","RESC1608N","53.9750","58.2500","270",""
"R97","TopLayer","RESC1608N","132.1250","11.8000","0",""
"R96","TopLayer","RESC1608N","50.5000","58.3000","270",""
"D10","TopLayer","LED0603","61.9956","49.9921","0","Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0603 Green"
"D9","TopLayer","LED0603","53.9956","49.9921","0","Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0603 Green"
"D8","TopLayer","LED0603","45.9956","49.9921","0","Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0603 Red"
"D7","TopLayer","LED0603","37.9956","49.9921","0","Standard LEDs - SMD WL-SMCW SMDMono TpVw Waterclr 0603 Blue"
"C78","TopLayer","CAPC1608N","132.1250","9.9750","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"U28","TopLayer","QFN50P800X800X100-57N-D","71.7000","34.2000","225","USB Interface IC Hi-Speed USB 2.0 10/100/1000 Ethernet"
"U23","TopLayer","QFN50P800X800X100-57N-D","45.2343","32.5657","225","USB Interface IC Hi-Speed USB 2.0 10/100/1000 Ethernet"
